accession,species_key,source_protein_id,prepared_protein_id,gene_id,gene_name,feature_id,mapping_status
GCF_003697165.2,GCF_003697165.2,WP_000660483.1,GCF_003697165.2__WP_000660483.1,EAS44_RS02465,hslR,gene-EAS44_RS02465,mapped
GCF_003697165.2,GCF_003697165.2,WP_000661051.1,GCF_003697165.2__WP_000661051.1,EAS44_RS06960,EAS44_RS06960,gene-EAS44_RS06960,mapped
GCF_003697165.2,GCF_003697165.2,WP_000661262.1,GCF_003697165.2__WP_000661262.1,EAS44_RS02105,dapA,gene-EAS44_RS02105,mapped
GCF_003697165.2,GCF_003697165.2,WP_000661611.1,GCF_003697165.2__WP_000661611.1,EAS44_RS18985,yahI,gene-EAS44_RS18985,mapped
GCF_003697165.2,GCF_003697165.2,WP_000662199.1,GCF_003697165.2__WP_000662199.1,EAS44_RS01045,EAS44_RS01045,gene-EAS44_RS01045,mapped
GCF_003697165.2,GCF_003697165.2,WP_000662403.1,GCF_003697165.2__WP_000662403.1,EAS44_RS18980,yahJ,gene-EAS44_RS18980,mapped
GCF_003697165.2,GCF_003697165.2,WP_000664214.1,GCF_003697165.2__WP_000664214.1,EAS44_RS18220,EAS44_RS18220,gene-EAS44_RS18220,mapped
GCF_003697165.2,GCF_003697165.2,WP_000665217.1,GCF_003697165.2__WP_000665217.1,EAS44_RS16070,yccU,gene-EAS44_RS16070,mapped
GCF_003697165.2,GCF_003697165.2,WP_000665680.1,GCF_003697165.2__WP_000665680.1,EAS44_RS01335,yibL,gene-EAS44_RS01335,mapped
GCF_003697165.2,GCF_003697165.2,WP_000667000.1,GCF_003697165.2__WP_000667000.1,EAS44_RS18270,EAS44_RS18270,gene-EAS44_RS18270,mapped
GCF_003697165.2,GCF_003697165.2,WP_000667319.1,GCF_003697165.2__WP_000667319.1,EAS44_RS18645,tgt,gene-EAS44_RS18645,mapped
GCF_003697165.2,GCF_003697165.2,WP_000667429.1,GCF_003697165.2__WP_000667429.1,EAS44_RS10670,EAS44_RS10670,gene-EAS44_RS10670,mapped
GCF_003697165.2,GCF_003697165.2,WP_000667561.1,GCF_003697165.2__WP_000667561.1,EAS44_RS10125,mdtC,gene-EAS44_RS10125,mapped
GCF_003697165.2,GCF_003697165.2,WP_000668610.1,GCF_003697165.2__WP_000668610.1,EAS44_RS01070,yicH,gene-EAS44_RS01070,mapped
GCF_003697165.2,GCF_003697165.2,WP_000668687.1,GCF_003697165.2__WP_000668687.1,EAS44_RS18560,thiI,gene-EAS44_RS18560,mapped
GCF_003697165.2,GCF_003697165.2,WP_000669785.1,GCF_003697165.2__WP_000669785.1,EAS44_RS03440,lptA,gene-EAS44_RS03440,mapped
GCF_003697165.2,GCF_003697165.2,WP_000669831.1,GCF_003697165.2__WP_000669831.1,EAS44_RS05320,yggE,gene-EAS44_RS05320,mapped
GCF_003697165.2,GCF_003697165.2,WP_000670963.1,GCF_003697165.2__WP_000670963.1,EAS44_RS00250,EAS44_RS00250,gene-EAS44_RS00250,mapped
GCF_003697165.2,GCF_003697165.2,WP_000670994.1,GCF_003697165.2__WP_000670994.1,EAS44_RS12530,ydhI,gene-EAS44_RS12530,mapped
GCF_003697165.2,GCF_003697165.2,WP_000671170.1,GCF_003697165.2__WP_000671170.1,EAS44_RS22260,EAS44_RS22260,gene-EAS44_RS22260,mapped
GCF_003697165.2,GCF_003697165.2,WP_000671315.1,GCF_003697165.2__WP_000671315.1,EAS44_RS02290,EAS44_RS02290,gene-EAS44_RS02290,mapped
GCF_003697165.2,GCF_003697165.2,WP_000671574.1,GCF_003697165.2__WP_000671574.1,EAS44_RS18290,gsk,gene-EAS44_RS18290,mapped
GCF_003697165.2,GCF_003697165.2,WP_000672426.1,GCF_003697165.2__WP_000672426.1,EAS44_RS12165,pheT,gene-EAS44_RS12165,mapped
GCF_003697165.2,GCF_003697165.2,WP_000673382.1,GCF_003697165.2__WP_000673382.1,EAS44_RS04300,qseC,gene-EAS44_RS04300,mapped
GCF_003697165.2,GCF_003697165.2,WP_000673464.1,GCF_003697165.2__WP_000673464.1,EAS44_RS00810,dnaN,gene-EAS44_RS00810,mapped
GCF_003697165.2,GCF_003697165.2,WP_000673572.1,GCF_003697165.2__WP_000673572.1,EAS44_RS03525,cgtA,gene-EAS44_RS03525,mapped
GCF_003697165.2,GCF_003697165.2,WP_000673927.1,GCF_003697165.2__WP_000673927.1,EAS44_RS11985,xthA,gene-EAS44_RS11985,mapped
GCF_003697165.2,GCF_003697165.2,WP_000675178.1,GCF_003697165.2__WP_000675178.1,EAS44_RS10115,baeS,gene-EAS44_RS10115,mapped
GCF_003697165.2,GCF_003697165.2,WP_000675504.1,GCF_003697165.2__WP_000675504.1,EAS44_RS02765,bfr,gene-EAS44_RS02765,mapped
GCF_003697165.2,GCF_003697165.2,WP_000676056.1,GCF_003697165.2__WP_000676056.1,EAS44_RS24625,rfbA,gene-EAS44_RS24625,mapped
GCF_003697165.2,GCF_003697165.2,WP_000677332.1,GCF_003697165.2__WP_000677332.1,EAS44_RS09745,yehC,gene-EAS44_RS09745,mapped
GCF_003697165.2,GCF_003697165.2,WP_000678211.1,GCF_003697165.2__WP_000678211.1,EAS44_RS18310,htpG,gene-EAS44_RS18310,mapped
GCF_003697165.2,GCF_003697165.2,WP_000678408.1,GCF_003697165.2__WP_000678408.1,EAS44_RS01085,recG,gene-EAS44_RS01085,mapped
GCF_003697165.2,GCF_003697165.2,WP_000678650.1,GCF_003697165.2__WP_000678650.1,EAS44_RS05920,mltA,gene-EAS44_RS05920,mapped
GCF_003697165.2,GCF_003697165.2,WP_000678945.1,GCF_003697165.2__WP_000678945.1,EAS44_RS10135,mdtA,gene-EAS44_RS10135,mapped
GCF_003697165.2,GCF_003697165.2,WP_000679501.1,GCF_003697165.2__WP_000679501.1,EAS44_RS17450,EAS44_RS17450,gene-EAS44_RS17450,mapped
GCF_003697165.2,GCF_003697165.2,WP_000679832.1,GCF_003697165.2__WP_000679832.1,EAS44_RS07755,ypfH,gene-EAS44_RS07755,mapped
GCF_003697165.2,GCF_003697165.2,WP_000679972.1,GCF_003697165.2__WP_000679972.1,EAS44_RS17050,ybhD,gene-EAS44_RS17050,mapped
GCF_003697165.2,GCF_003697165.2,WP_000680314.1,GCF_003697165.2__WP_000680314.1,EAS44_RS18465,ybaV,gene-EAS44_RS18465,mapped
GCF_003697165.2,GCF_003697165.2,WP_000681104.1,GCF_003697165.2__WP_000681104.1,EAS44_RS16650,ybjM,gene-EAS44_RS16650,mapped
GCF_003697165.2,GCF_003697165.2,WP_000681386.1,GCF_003697165.2__WP_000681386.1,EAS44_RS20545,nhaA,gene-EAS44_RS20545,mapped
GCF_003697165.2,GCF_003697165.2,WP_000681931.1,GCF_003697165.2__WP_000681931.1,EAS44_RS03775,kbaZ,gene-EAS44_RS03775,mapped
GCF_003697165.2,GCF_003697165.2,WP_000682524.1,GCF_003697165.2__WP_000682524.1,EAS44_RS17925,ybdJ,gene-EAS44_RS17925,mapped
GCF_003697165.2,GCF_003697165.2,WP_000682996.1,GCF_003697165.2__WP_000682996.1,EAS44_RS13660,mppA,gene-EAS44_RS13660,mapped
GCF_003697165.2,GCF_003697165.2,WP_000683079.1,GCF_003697165.2__WP_000683079.1,EAS44_RS14135,EAS44_RS14135,gene-EAS44_RS14135,mapped
GCF_003697165.2,GCF_003697165.2,WP_000683145.1,GCF_003697165.2__WP_000683145.1,EAS44_RS15005,EAS44_RS15005,gene-EAS44_RS15005,mapped
GCF_003697165.2,GCF_003697165.2,WP_000683335.1,GCF_003697165.2__WP_000683335.1,EAS44_RS19965,hpt,gene-EAS44_RS19965,mapped
GCF_003697165.2,GCF_003697165.2,WP_000683753.1,GCF_003697165.2__WP_000683753.1,EAS44_RS08695,mnmC,gene-EAS44_RS08695,mapped
GCF_003697165.2,GCF_003697165.2,WP_000684321.1,GCF_003697165.2__WP_000684321.1,EAS44_RS16630,rimK,gene-EAS44_RS16630,mapped
GCF_003697165.2,GCF_003697165.2,WP_000684856.1,GCF_003697165.2__WP_000684856.1,EAS44_RS21480,fecD,gene-EAS44_RS21480,mapped
GCF_003697165.2,GCF_003697165.2,WP_000685044.1,GCF_003697165.2__WP_000685044.1,EAS44_RS18420,amtB,gene-EAS44_RS18420,mapped
GCF_003697165.2,GCF_003697165.2,WP_000686607.1,GCF_003697165.2__WP_000686607.1,EAS44_RS01905,rsmJ,gene-EAS44_RS01905,mapped
GCF_003697165.2,GCF_003697165.2,WP_000686723.1,GCF_003697165.2__WP_000686723.1,EAS44_RS09255,napF,gene-EAS44_RS09255,mapped
GCF_003697165.2,GCF_003697165.2,WP_000687123.1,GCF_003697165.2__WP_000687123.1,EAS44_RS17310,pxpA,gene-EAS44_RS17310,mapped
GCF_003697165.2,GCF_003697165.2,WP_000687745.1,GCF_003697165.2__WP_000687745.1,EAS44_RS05265,EAS44_RS05265,gene-EAS44_RS05265,mapped
GCF_003697165.2,GCF_003697165.2,WP_000687871.1,GCF_003697165.2__WP_000687871.1,EAS44_RS10195,EAS44_RS10195,gene-EAS44_RS10195,mapped
GCF_003697165.2,GCF_003697165.2,WP_000688328.1,GCF_003697165.2__WP_000688328.1,EAS44_RS19915,EAS44_RS19915,gene-EAS44_RS19915,mapped
GCF_003697165.2,GCF_003697165.2,WP_000689228.1,GCF_003697165.2__WP_000689228.1,EAS44_RS21740,ytfK,gene-EAS44_RS21740,mapped
GCF_003697165.2,GCF_003697165.2,WP_000689338.1,GCF_003697165.2__WP_000689338.1,EAS44_RS13300,pqqU,gene-EAS44_RS13300,mapped
GCF_003697165.2,GCF_003697165.2,WP_000689844.1,GCF_003697165.2__WP_000689844.1,EAS44_RS19790,mtnN,gene-EAS44_RS19790,mapped
GCF_003697165.2,GCF_003697165.2,WP_000690892.1,GCF_003697165.2__WP_000690892.1,EAS44_RS05890,tssK,gene-EAS44_RS05890,mapped
GCF_003697165.2,GCF_003697165.2,WP_000691040.1,GCF_003697165.2__WP_000691040.1,EAS44_RS23635,manD,gene-EAS44_RS23635,mapped
GCF_003697165.2,GCF_003697165.2,WP_000691382.1,GCF_003697165.2__WP_000691382.1,EAS44_RS03000,trkA,gene-EAS44_RS03000,mapped
GCF_003697165.2,GCF_003697165.2,WP_000691616.1,GCF_003697165.2__WP_000691616.1,EAS44_RS04385,yqhG,gene-EAS44_RS04385,mapped
GCF_003697165.2,GCF_003697165.2,WP_000691708.1,GCF_003697165.2__WP_000691708.1,EAS44_RS25865,yohP,gene-EAS44_RS25865,mapped
GCF_003697165.2,GCF_003697165.2,WP_000691930.1,GCF_003697165.2__WP_000691930.1,EAS44_RS11770,yoaF,gene-EAS44_RS11770,mapped
GCF_003697165.2,GCF_003697165.2,WP_000691953.1,GCF_003697165.2__WP_000691953.1,EAS44_RS18935,yahO,gene-EAS44_RS18935,mapped
GCF_003697165.2,GCF_003697165.2,WP_000692171.1,GCF_003697165.2__WP_000692171.1,EAS44_RS12245,ydiQ,gene-EAS44_RS12245,mapped
GCF_003697165.2,GCF_003697165.2,WP_000692217.1,GCF_003697165.2__WP_000692217.1,EAS44_RS20415,fixA,gene-EAS44_RS20415,mapped
GCF_003697165.2,GCF_003697165.2,WP_000692312.1,GCF_003697165.2__WP_000692312.1,EAS44_RS04785,EAS44_RS04785,gene-EAS44_RS04785,mapped
GCF_003697165.2,GCF_003697165.2,WP_000692323.1,GCF_003697165.2__WP_000692323.1,EAS44_RS10520,yeeT,gene-EAS44_RS10520,mapped
GCF_003697165.2,GCF_003697165.2,WP_000692333.1,GCF_003697165.2__WP_000692333.1,EAS44_RS21280,EAS44_RS21280,gene-EAS44_RS21280,mapped
GCF_003697165.2,GCF_003697165.2,WP_000692347.1,GCF_003697165.2__WP_000692347.1,EAS44_RS22565,EAS44_RS22565,gene-EAS44_RS22565,mapped
GCF_003697165.2,GCF_003697165.2,WP_000692719.1,GCF_003697165.2__WP_000692719.1,EAS44_RS18950,yahK,gene-EAS44_RS18950,mapped
GCF_003697165.2,GCF_003697165.2,WP_000693755.1,GCF_003697165.2__WP_000693755.1,EAS44_RS14800,pliG,gene-EAS44_RS14800,mapped
GCF_003697165.2,GCF_003697165.2,WP_000693867.1,GCF_003697165.2__WP_000693867.1,EAS44_RS14315,EAS44_RS14315,gene-EAS44_RS14315,mapped
GCF_003697165.2,GCF_003697165.2,WP_000694069.1,GCF_003697165.2__WP_000694069.1,EAS44_RS23740,EAS44_RS23740,gene-EAS44_RS23740,mapped
GCF_003697165.2,GCF_003697165.2,WP_000695389.1,GCF_003697165.2__WP_000695389.1,EAS44_RS23210,malE,gene-EAS44_RS23210,mapped
GCF_003697165.2,GCF_003697165.2,WP_000695435.1,GCF_003697165.2__WP_000695435.1,EAS44_RS03985,ygjK,gene-EAS44_RS03985,mapped
GCF_003697165.2,GCF_003697165.2,WP_000695589.1,GCF_003697165.2__WP_000695589.1,EAS44_RS21120,fimA,gene-EAS44_RS21120,mapped
GCF_003697165.2,GCF_003697165.2,WP_000695661.1,GCF_003697165.2__WP_000695661.1,EAS44_RS08085,gltX,gene-EAS44_RS08085,mapped
GCF_003697165.2,GCF_003697165.2,WP_000695690.1,GCF_003697165.2__WP_000695690.1,EAS44_RS03290,yhcN,gene-EAS44_RS03290,mapped
GCF_003697165.2,GCF_003697165.2,WP_000697907.1,GCF_003697165.2__WP_000697907.1,EAS44_RS22705,basR,gene-EAS44_RS22705,mapped
GCF_003697165.2,GCF_003697165.2,WP_000698145.1,GCF_003697165.2__WP_000698145.1,EAS44_RS13525,ynbE,gene-EAS44_RS13525,mapped
GCF_003697165.2,GCF_003697165.2,WP_000698877.1,GCF_003697165.2__WP_000698877.1,EAS44_RS18690,sbcC,gene-EAS44_RS18690,mapped
GCF_003697165.2,GCF_003697165.2,WP_000699136.1,GCF_003697165.2__WP_000699136.1,EAS44_RS08715,pdxB,gene-EAS44_RS08715,mapped
GCF_003697165.2,GCF_003697165.2,WP_000699228.1,GCF_003697165.2__WP_000699228.1,EAS44_RS01235,rfaF,gene-EAS44_RS01235,mapped
GCF_003697165.2,GCF_003697165.2,WP_000699418.1,GCF_003697165.2__WP_000699418.1,EAS44_RS10315,rfbB,gene-EAS44_RS10315,mapped
GCF_003697165.2,GCF_003697165.2,WP_000699724.1,GCF_003697165.2__WP_000699724.1,EAS44_RS10270,wcaI,gene-EAS44_RS10270,mapped
GCF_003697165.2,GCF_003697165.2,WP_000700703.1,GCF_003697165.2__WP_000700703.1,EAS44_RS17735,citD,gene-EAS44_RS17735,mapped
GCF_003697165.2,GCF_003697165.2,WP_000700787.1,GCF_003697165.2__WP_000700787.1,EAS44_RS07470,yphC,gene-EAS44_RS07470,mapped
GCF_003697165.2,GCF_003697165.2,WP_000701049.1,GCF_003697165.2__WP_000701049.1,EAS44_RS12455,ydhP,gene-EAS44_RS12455,mapped
GCF_003697165.2,GCF_003697165.2,WP_000702319.1,GCF_003697165.2__WP_000702319.1,EAS44_RS23780,yiiX,gene-EAS44_RS23780,mapped
GCF_003697165.2,GCF_003697165.2,WP_000702385.1,GCF_003697165.2__WP_000702385.1,EAS44_RS06930,EAS44_RS06930,gene-EAS44_RS06930,mapped
GCF_003697165.2,GCF_003697165.2,WP_000702551.1,GCF_003697165.2__WP_000702551.1,EAS44_RS13225,narH,gene-EAS44_RS13225,mapped
GCF_003697165.2,GCF_003697165.2,WP_000702647.1,GCF_003697165.2__WP_000702647.1,EAS44_RS14530,narH,gene-EAS44_RS14530,mapped
GCF_003697165.2,GCF_003697165.2,WP_000702905.1,GCF_003697165.2__WP_000702905.1,EAS44_RS01025,yicI,gene-EAS44_RS01025,mapped
GCF_003697165.2,GCF_003697165.2,WP_000703040.1,GCF_003697165.2__WP_000703040.1,EAS44_RS10840,ybtS,gene-EAS44_RS10840,mapped
GCF_003697165.2,GCF_003697165.2,WP_000703882.1,GCF_003697165.2__WP_000703882.1,EAS44_RS18090,allD,gene-EAS44_RS18090,mapped
GCF_003697165.2,GCF_003697165.2,WP_000703959.1,GCF_003697165.2__WP_000703959.1,EAS44_RS00910,yidH,gene-EAS44_RS00910,mapped
GCF_003697165.2,GCF_003697165.2,WP_000704415.1,GCF_003697165.2__WP_000704415.1,EAS44_RS23045,EAS44_RS23045,gene-EAS44_RS23045,mapped
GCF_003697165.2,GCF_003697165.2,WP_000704860.1,GCF_003697165.2__WP_000704860.1,EAS44_RS10370,ugd,gene-EAS44_RS10370,mapped
GCF_003697165.2,GCF_003697165.2,WP_000705012.1,GCF_003697165.2__WP_000705012.1,EAS44_RS00855,dgoD,gene-EAS44_RS00855,mapped
GCF_003697165.2,GCF_003697165.2,WP_000705201.1,GCF_003697165.2__WP_000705201.1,EAS44_RS12845,ynfB,gene-EAS44_RS12845,mapped
GCF_003697165.2,GCF_003697165.2,WP_000705727.1,GCF_003697165.2__WP_000705727.1,EAS44_RS16300,ycaI,gene-EAS44_RS16300,mapped
GCF_003697165.2,GCF_003697165.2,WP_000705871.1,GCF_003697165.2__WP_000705871.1,EAS44_RS18550,panE,gene-EAS44_RS18550,mapped
GCF_003697165.2,GCF_003697165.2,WP_000706978.1,GCF_003697165.2__WP_000706978.1,EAS44_RS22555,EAS44_RS22555,gene-EAS44_RS22555,mapped
GCF_003697165.2,GCF_003697165.2,WP_000708479.1,GCF_003697165.2__WP_000708479.1,EAS44_RS04110,cca,gene-EAS44_RS04110,mapped
GCF_003697165.2,GCF_003697165.2,WP_000709001.1,GCF_003697165.2__WP_000709001.1,EAS44_RS23875,cdh,gene-EAS44_RS23875,mapped
GCF_003697165.2,GCF_003697165.2,WP_000709874.1,GCF_003697165.2__WP_000709874.1,EAS44_RS17960,cusF,gene-EAS44_RS17960,mapped
GCF_003697165.2,GCF_003697165.2,WP_000710618.1,GCF_003697165.2__WP_000710618.1,EAS44_RS16860,mcbA,gene-EAS44_RS16860,mapped
GCF_003697165.2,GCF_003697165.2,WP_000710769.1,GCF_003697165.2__WP_000710769.1,EAS44_RS23785,rpmE,gene-EAS44_RS23785,mapped
GCF_003697165.2,GCF_003697165.2,WP_000710991.1,GCF_003697165.2__WP_000710991.1,EAS44_RS05885,tssL,gene-EAS44_RS05885,mapped
GCF_003697165.2,GCF_003697165.2,WP_000711883.1,GCF_003697165.2__WP_000711883.1,EAS44_RS10025,EAS44_RS10025,gene-EAS44_RS10025,mapped
GCF_003697165.2,GCF_003697165.2,WP_000712658.1,GCF_003697165.2__WP_000712658.1,EAS44_RS04310,ygiW,gene-EAS44_RS04310,mapped
GCF_003697165.2,GCF_003697165.2,WP_000714545.1,GCF_003697165.2__WP_000714545.1,EAS44_RS11610,mgrB,gene-EAS44_RS11610,mapped
GCF_003697165.2,GCF_003697165.2,WP_000714563.1,GCF_003697165.2__WP_000714563.1,EAS44_RS21220,yjhH,gene-EAS44_RS21220,mapped
GCF_003697165.2,GCF_003697165.2,WP_000715081.1,GCF_003697165.2__WP_000715081.1,EAS44_RS00675,EAS44_RS00675,gene-EAS44_RS00675,mapped
GCF_003697165.2,GCF_003697165.2,WP_000715230.1,GCF_003697165.2__WP_000715230.1,EAS44_RS05455,dsbC,gene-EAS44_RS05455,mapped
GCF_003697165.2,GCF_003697165.2,WP_000716367.1,GCF_003697165.2__WP_000716367.1,EAS44_RS08040,yfeN,gene-EAS44_RS08040,mapped
GCF_003697165.2,GCF_003697165.2,WP_000716404.1,GCF_003697165.2__WP_000716404.1,EAS44_RS19200,ecpB,gene-EAS44_RS19200,mapped
GCF_003697165.2,GCF_003697165.2,WP_000716787.1,GCF_003697165.2__WP_000716787.1,EAS44_RS22820,rpiB,gene-EAS44_RS22820,mapped
GCF_003697165.2,GCF_003697165.2,WP_000716853.1,GCF_003697165.2__WP_000716853.1,EAS44_RS10360,EAS44_RS10360,gene-EAS44_RS10360,mapped
GCF_003697165.2,GCF_003697165.2,WP_000716884.1,GCF_003697165.2__WP_000716884.1,EAS44_RS12395,ydhS,gene-EAS44_RS12395,mapped
GCF_003697165.2,GCF_003697165.2,WP_000717094.1,GCF_003697165.2__WP_000717094.1,EAS44_RS17955,cusB,gene-EAS44_RS17955,mapped
GCF_003697165.2,GCF_003697165.2,WP_000717694.1,GCF_003697165.2__WP_000717694.1,EAS44_RS07430,glnB,gene-EAS44_RS07430,mapped
GCF_003697165.2,GCF_003697165.2,WP_000718995.1,GCF_003697165.2__WP_000718995.1,EAS44_RS14475,galU,gene-EAS44_RS14475,mapped
GCF_003697165.2,GCF_003697165.2,WP_000719088.1,GCF_003697165.2__WP_000719088.1,EAS44_RS11885,ydjF,gene-EAS44_RS11885,mapped
GCF_003697165.2,GCF_003697165.2,WP_000719728.1,GCF_003697165.2__WP_000719728.1,EAS44_RS02575,yhfU,gene-EAS44_RS02575,mapped
GCF_003697165.2,GCF_003697165.2,WP_000719794.1,GCF_003697165.2__WP_000719794.1,EAS44_RS03395,elbB,gene-EAS44_RS03395,mapped
GCF_003697165.2,GCF_003697165.2,WP_000719990.1,GCF_003697165.2__WP_000719990.1,EAS44_RS03845,tdcF,gene-EAS44_RS03845,mapped
GCF_003697165.2,GCF_003697165.2,WP_000720225.1,GCF_003697165.2__WP_000720225.1,EAS44_RS15355,ycfZ,gene-EAS44_RS15355,mapped
GCF_003697165.2,GCF_003697165.2,WP_000722279.1,GCF_003697165.2__WP_000722279.1,EAS44_RS22415,grpL,gene-EAS44_RS22415,mapped
GCF_003697165.2,GCF_003697165.2,WP_000722574.1,GCF_003697165.2__WP_000722574.1,EAS44_RS12930,EAS44_RS12930,gene-EAS44_RS12930,mapped
GCF_003697165.2,GCF_003697165.2,WP_000722957.1,GCF_003697165.2__WP_000722957.1,EAS44_RS04080,ttdB,gene-EAS44_RS04080,mapped
GCF_003697165.2,GCF_003697165.2,WP_000722973.1,GCF_003697165.2__WP_000722973.1,EAS44_RS21185,sgcB,gene-EAS44_RS21185,mapped
GCF_003697165.2,GCF_003697165.2,WP_000723250.1,GCF_003697165.2__WP_000723250.1,EAS44_RS04705,neuC,gene-EAS44_RS04705,mapped
GCF_003697165.2,GCF_003697165.2,WP_000723502.1,GCF_003697165.2__WP_000723502.1,EAS44_RS08945,yfbL,gene-EAS44_RS08945,mapped
GCF_003697165.2,GCF_003697165.2,WP_000723628.1,GCF_003697165.2__WP_000723628.1,EAS44_RS17045,ybhH,gene-EAS44_RS17045,mapped
GCF_003697165.2,GCF_003697165.2,WP_000723732.1,GCF_003697165.2__WP_000723732.1,EAS44_RS11880,ydjG,gene-EAS44_RS11880,mapped
GCF_003697165.2,GCF_003697165.2,WP_000723802.1,GCF_003697165.2__WP_000723802.1,EAS44_RS05000,papE,gene-EAS44_RS05000,mapped
GCF_003697165.2,GCF_003697165.2,WP_000724161.1,GCF_003697165.2__WP_000724161.1,EAS44_RS05975,fucI,gene-EAS44_RS05975,mapped
GCF_003697165.2,GCF_003697165.2,WP_000724596.1,GCF_003697165.2__WP_000724596.1,EAS44_RS07980,yfeK,gene-EAS44_RS07980,mapped
GCF_003697165.2,GCF_003697165.2,WP_000725344.1,GCF_003697165.2__WP_000725344.1,EAS44_RS24155,dsbA,gene-EAS44_RS24155,mapped
GCF_003697165.2,GCF_003697165.2,WP_000726723.1,GCF_003697165.2__WP_000726723.1,EAS44_RS13085,ydeP,gene-EAS44_RS13085,mapped
GCF_003697165.2,GCF_003697165.2,WP_000726974.1,GCF_003697165.2__WP_000726974.1,EAS44_RS14845,ymgG,gene-EAS44_RS14845,mapped
GCF_003697165.2,GCF_003697165.2,WP_000729117.1,GCF_003697165.2__WP_000729117.1,EAS44_RS22165,groL,gene-EAS44_RS22165,mapped
GCF_003697165.2,GCF_003697165.2,WP_000729155.1,GCF_003697165.2__WP_000729155.1,EAS44_RS18025,folD,gene-EAS44_RS18025,mapped
GCF_003697165.2,GCF_003697165.2,WP_000729186.1,GCF_003697165.2__WP_000729186.1,EAS44_RS02900,rplX,gene-EAS44_RS02900,mapped
GCF_003697165.2,GCF_003697165.2,WP_000730081.1,GCF_003697165.2__WP_000730081.1,EAS44_RS17355,kdpA,gene-EAS44_RS17355,mapped
GCF_003697165.2,GCF_003697165.2,WP_000730251.1,GCF_003697165.2__WP_000730251.1,EAS44_RS02240,gntR,gene-EAS44_RS02240,mapped
GCF_003697165.2,GCF_003697165.2,WP_000730806.1,GCF_003697165.2__WP_000730806.1,EAS44_RS08660,smrB,gene-EAS44_RS08660,mapped
GCF_003697165.2,GCF_003697165.2,WP_000730982.1,GCF_003697165.2__WP_000730982.1,EAS44_RS19195,ecpA,gene-EAS44_RS19195,mapped
GCF_003697165.2,GCF_003697165.2,WP_000731859.1,GCF_003697165.2__WP_000731859.1,EAS44_RS13450,EAS44_RS13450,gene-EAS44_RS13450,mapped
GCF_003697165.2,GCF_003697165.2,WP_000732237.1,GCF_003697165.2__WP_000732237.1,EAS44_RS03890,yqjF,gene-EAS44_RS03890,mapped
GCF_003697165.2,GCF_003697165.2,WP_000732519.1,GCF_003697165.2__WP_000732519.1,EAS44_RS12705,rstB,gene-EAS44_RS12705,mapped
GCF_003697165.2,GCF_003697165.2,WP_000733252.1,GCF_003697165.2__WP_000733252.1,EAS44_RS00070,EAS44_RS00070,gene-EAS44_RS00070,mapped
GCF_003697165.2,GCF_003697165.2,WP_000733594.1,GCF_003697165.2__WP_000733594.1,EAS44_RS17435,chiQ,gene-EAS44_RS17435,mapped
GCF_003697165.2,GCF_003697165.2,WP_000733693.1,GCF_003697165.2__WP_000733693.1,EAS44_RS14660,dhaK,gene-EAS44_RS14660,mapped
GCF_003697165.2,GCF_003697165.2,WP_000733875.1,GCF_003697165.2__WP_000733875.1,EAS44_RS07830,eutQ,gene-EAS44_RS07830,mapped
GCF_003697165.2,GCF_003697165.2,WP_000734193.1,GCF_003697165.2__WP_000734193.1,EAS44_RS07405,mltF,gene-EAS44_RS07405,mapped
GCF_003697165.2,GCF_003697165.2,WP_000734302.1,GCF_003697165.2__WP_000734302.1,EAS44_RS19990,speD,gene-EAS44_RS19990,mapped
GCF_003697165.2,GCF_003697165.2,WP_000734671.1,GCF_003697165.2__WP_000734671.1,EAS44_RS15315,phoQ,gene-EAS44_RS15315,mapped
GCF_003697165.2,GCF_003697165.2,WP_000735124.1,GCF_003697165.2__WP_000735124.1,EAS44_RS10340,wecB,gene-EAS44_RS10340,mapped
GCF_003697165.2,GCF_003697165.2,WP_000735289.1,GCF_003697165.2__WP_000735289.1,EAS44_RS04220,tolC,gene-EAS44_RS04220,mapped
GCF_003697165.2,GCF_003697165.2,WP_000736044.1,GCF_003697165.2__WP_000736044.1,EAS44_RS20115,mutT,gene-EAS44_RS20115,mapped
GCF_003697165.2,GCF_003697165.2,WP_000736139.1,GCF_003697165.2__WP_000736139.1,EAS44_RS15620,yceM,gene-EAS44_RS15620,mapped
GCF_003697165.2,GCF_003697165.2,WP_000736363.1,GCF_003697165.2__WP_000736363.1,EAS44_RS07565,yfhM,gene-EAS44_RS07565,mapped
GCF_003697165.2,GCF_003697165.2,WP_000736608.1,GCF_003697165.2__WP_000736608.1,EAS44_RS09970,EAS44_RS09970,gene-EAS44_RS09970,mapped
GCF_003697165.2,GCF_003697165.2,WP_000736858.1,GCF_003697165.2__WP_000736858.1,EAS44_RS02630,yhfG,gene-EAS44_RS02630,mapped
GCF_003697165.2,GCF_003697165.2,WP_000736913.1,GCF_003697165.2__WP_000736913.1,EAS44_RS15140,EAS44_RS15140,gene-EAS44_RS15140,mapped
GCF_003697165.2,GCF_003697165.2,WP_000737043.1,GCF_003697165.2__WP_000737043.1,EAS44_RS02420,feoB,gene-EAS44_RS02420,mapped
GCF_003697165.2,GCF_003697165.2,WP_000737271.1,GCF_003697165.2__WP_000737271.1,EAS44_RS15095,ompC,gene-EAS44_RS15095,mapped
